Country,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
United States,994,346,90104,43494,1.1%,0.8%,17.54,25.16
Canada,15,1,1138,348,1.32%,0.29%,15.52,29.61
United Kingdom,4,1,340,258,1.18%,0.39%,19.08,26.86
Germany,2,0,171,99,1.17%,0%,18.59,12.28
Australia,2,1,118,82,1.69%,1.22%,16.03,26.51
France,2,0,116,71,1.72%,0%,12.29,9.62
Argentina,2,0,84,61,2.38%,0%,11.04,12.07
Netherlands,2,0,82,25,2.44%,0%,10.87,12.24
Bulgaria,2,1,19,15,10.53%,6.67%,19.53,6.93
Vietnam,1,0,173,98,0.58%,0%,11.09,19.78
China,1,0,118,37,0.85%,0%,6.35,12.08
Philippines,1,1,110,122,0.91%,0.82%,8.76,18.61
Colombia,1,0,80,52,1.25%,0%,9.7,15.98
Turkey,1,3,68,65,1.47%,4.62%,7.28,14.68
Poland,1,0,67,28,1.49%,0%,16.88,10.11
Thailand,1,0,58,47,1.72%,0%,9.57,21.96
Ukraine,1,0,48,20,2.08%,0%,8.06,11.5
Hong Kong,1,3,36,12,2.78%,25%,6.08,8.92
Russia,1,0,34,17,2.94%,0%,17.06,10.12
Czechia,1,0,33,50,3.03%,0%,15.42,36.5
Belgium,1,0,32,22,3.12%,0%,17.69,8.91
Ecuador,1,0,30,30,3.33%,0%,9.17,12.63
New Zealand,1,1,26,14,3.85%,7.14%,8,36
Serbia,1,1,17,9,5.88%,11.11%,8.18,8.44
Denmark,1,0,14,8,7.14%,0%,11.64,10.88
Costa Rica,1,1,7,8,14.29%,12.5%,2.57,10.88
Brazil,0,0,394,213,0%,0%,8.88,14.23
India,0,1,285,269,0%,0.37%,17.41,29.91
Mexico,0,1,148,91,0%,1.1%,7.93,14.15
Spain,0,0,128,117,0%,0%,13.27,19.12
Italy,0,4,119,97,0%,4.12%,16.4,12.74
Indonesia,0,0,109,104,0%,0%,9.86,17.08
Malaysia,0,0,78,40,0%,0%,5.65,16.3
Japan,0,0,52,32,0%,0%,10.42,11.84
Pakistan,0,1,51,48,0%,2.08%,17.59,13.9
South Korea,0,0,48,54,0%,0%,8.42,15.07
Bangladesh,0,0,48,33,0%,0%,11.85,13.12
Saudi Arabia,0,0,48,40,0%,0%,13.48,27.6
Singapore,0,0,45,76,0%,0%,5.62,5.62
Switzerland,0,0,41,35,0%,0%,11.39,12.2
Portugal,0,0,40,20,0%,0%,16.43,11
Romania,0,0,40,13,0%,0%,17.75,15.77
South Africa,0,0,35,15,0%,0%,8.11,23.8
United Arab Emirates,0,0,35,15,0%,0%,9.23,23.53
Peru,0,0,34,22,0%,0%,7.09,19.64
Chile,0,0,34,15,0%,0%,11.82,10.93
