Top pages,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
https://www.edgpatioshade.com/guides/magnatrack-screens-cost,443,0,18029,0,2.46%,0%,6.92,0
https://www.edgpatioshade.com/,144,128,25019,14216,0.58%,0.9%,25.66,24.94
https://edgpatioshade.com/,124,112,7744,3671,1.6%,3.05%,4.54,7.73
https://www.edgpatioshade.com/systems/shades,122,21,15663,7154,0.78%,0.29%,19.94,26.25
https://www.edgpatioshade.com/systems/enclosures,66,4,5124,305,1.29%,1.31%,12.46,10.42
https://www.edgpatioshade.com/systems/pergolas,20,8,4864,4967,0.41%,0.16%,25.89,29.82
https://www.edgpatioshade.com/service-areas/naperville-il,13,5,1234,523,1.05%,0.96%,15.56,18.21
https://www.edgpatioshade.com/guides/pergola-cost,12,1,5756,56,0.21%,1.79%,14.01,6.64
https://www.edgpatioshade.com/service-areas/chicago-il/motorized-pergolas,11,0,633,88,1.74%,0%,20.3,24.35
https://www.edgpatioshade.com/systems/pergolas/configure,10,0,1775,12,0.56%,0%,9.57,6.67
https://www.edgpatioshade.com/service-areas/wilmette-il,9,0,801,0,1.12%,0%,18.48,0
https://www.edgpatioshade.com/commercial/restaurant-patio-enclosures,8,3,1991,452,0.4%,0.66%,17.56,27.98
https://app.edgpatioshade.com/,8,5,56,26,14.29%,19.23%,4.38,8.42
https://www.edgpatioshade.com/service-areas/north-shore-chicago,7,4,1313,868,0.53%,0.46%,19.35,19.59
https://www.edgpatioshade.com/service-areas/sanibel-outdoor-living,6,5,755,447,0.79%,1.12%,13.45,17.16
https://www.edgpatioshade.com/service-areas/lake-geneva-wi,5,1,1152,325,0.43%,0.31%,20.33,13.75
https://www.edgpatioshade.com/gallery,5,3,1132,774,0.44%,0.39%,28.99,20.02
https://www.edgpatioshade.com/service-areas/northbrook-il,5,1,781,122,0.64%,0.82%,10.41,10.16
https://www.edgpatioshade.com/design-your-pergola,5,0,143,0,3.5%,0%,11.99,0
https://www.edgpatioshade.com/service-areas/lake-county-il,4,4,1825,957,0.22%,0.42%,18.15,16.71
https://www.edgpatioshade.com/service-areas/spring-grove-il,3,0,1570,0,0.19%,0%,24.69,0
https://www.edgpatioshade.com/systems/appliances,3,1,201,86,1.49%,1.16%,16.8,12.28
https://www.edgpatioshade.com/guides/louvered-pergolas,2,0,747,0,0.27%,0%,10.98,0
https://www.edgpatioshade.com/commercial,2,1,357,1021,0.56%,0.1%,20.17,27.53
https://www.edgpatioshade.com/guides/louvered-pergola-brands-compared,2,0,294,0,0.68%,0%,8.09,0
https://www.edgpatioshade.com/guides/motorized-pergola-permits-hoa-engineering,2,0,189,0,1.06%,0%,22.62,0
https://www.edgpatioshade.com/contact,1,2,1013,844,0.1%,0.24%,37.8,13.92
https://www.edgpatioshade.com/projects,1,1,616,335,0.16%,0.3%,17.79,13.88
https://www.edgpatioshade.com/guides/motorized-pergola-deck-roof-deck,1,0,352,0,0.28%,0%,9.81,0
https://www.edgpatioshade.com/projects/greco,1,0,141,50,0.71%,0%,19.54,14
https://edgpatioshade.com/become-a-partner/,1,0,38,73,2.63%,0%,6.66,5.92
https://app.edgpatioshade.com/users/password/new,1,1,33,17,3.03%,5.88%,5.64,12.35
https://www.edgpatioshade.com/projects/jake-everly-residence,1,0,22,0,4.55%,0%,6.82,0
https://www.edgpatioshade.com/service-areas/deerfield-il/retractable-screens,0,0,1010,0,0%,0%,7.65,0
https://www.edgpatioshade.com/service-areas/winnetka-il,0,0,859,187,0%,0%,22.74,11.88
https://www.edgpatioshade.com/guides,0,0,320,134,0%,0%,14.82,6.16
https://www.edgpatioshade.com/service-areas,0,0,251,290,0%,0%,33.62,35.83
https://www.edgpatioshade.com/guides/motorized-pergola-planning,0,0,218,0,0%,0%,16.32,0
https://www.edgpatioshade.com/terms,0,0,217,172,0%,0%,8.34,10.56
https://www.edgpatioshade.com/guides/pergola-system-fit-review,0,0,161,0,0%,0%,9.91,0
https://www.edgpatioshade.com/guides/planning-guide,0,1,134,154,0%,0.65%,11.48,13.51
https://www.edgpatioshade.com/guides/pergola-vs-patio-cover,0,0,134,0,0%,0%,21,0
https://edgpatioshade.com/lake-county-motorized-screens/,0,3,130,290,0%,1.03%,4.7,8.47
https://www.edgpatioshade.com/projects/libertyville-shade-system,0,0,107,149,0%,0%,7.58,17.44
https://www.edgpatioshade.com/guides/motorized-pergola-budget-examples,0,0,96,0,0%,0%,19.58,0
https://www.edgpatioshade.com/outdoor-rooms/pergola-glass-outdoor-room,0,0,88,0,0%,0%,29.17,0
https://www.edgpatioshade.com/commercial/west-loop,0,0,81,0,0%,0%,13.58,0
https://www.edgpatioshade.com/projects/wade,0,0,79,0,0%,0%,28.62,0
https://www.edgpatioshade.com/trade-partners,0,0,76,0,0%,0%,9.47,0
https://www.edgpatioshade.com/commercial/restaurant-patio-solutions,0,0,66,0,0%,0%,14.61,0
https://www.edgpatioshade.com/service-areas/mchenry-county-il,0,2,65,396,0%,0.51%,5.4,17.26
https://www.edgpatioshade.com/html-sitemap,0,0,47,0,0%,0%,34.64,0
https://www.edgpatioshade.com/service-areas/southeast-wisconsin,0,0,42,282,0%,0%,12.43,38.76
https://www.edgpatioshade.com/commercial/chicago-hospitality-outdoor-living,0,1,40,88,0%,1.14%,23.15,11.94
https://edgpatioshade.com/architects-designers/,0,0,22,155,0%,0%,4.91,6.01
https://www.edgpatioshade.com/service-areas/winnetka-il/zoning-guide,0,0,19,90,0%,0%,24.05,15.67
https://www.edgpatioshade.com/outdoor-rooms,0,0,19,0,0%,0%,35.11,0
https://www.edgpatioshade.com/projects/karp,0,0,17,0,0%,0%,52.18,0
https://edgpatioshade.com/portfolio-item/burr-ridge-il-residential-project/,0,0,15,533,0%,0%,11.87,18.29
https://www.edgpatioshade.com/commercial/hotel-roof-deck-systems,0,1,14,84,0%,1.19%,5.71,8.63
https://www.edgpatioshade.com/service-areas/lake-forest-il/zoning-guide,0,0,11,0,0%,0%,8.64,0
https://www.edgpatioshade.com/projects/carmines,0,0,9,0,0%,0%,19.89,0
