Date,Clicks,Impressions,CTR,Position
2026-04-12,5,494,1.01%,14.4
2026-04-13,8,2374,0.34%,7.2
2026-04-14,5,1083,0.46%,6.8
2026-04-15,6,487,1.23%,18.4
2026-04-16,3,477,0.63%,14.3
2026-04-17,5,367,1.36%,12
2026-04-18,4,461,0.87%,12
2026-04-19,6,492,1.22%,14.1
2026-04-20,10,699,1.43%,18.8
2026-04-21,10,399,2.51%,16.8
2026-04-22,6,460,1.3%,18.4
2026-04-23,5,312,1.6%,13.6
2026-04-24,5,339,1.47%,11.2
2026-04-25,1,309,0.32%,13.7
2026-04-26,3,874,0.34%,20.9
2026-04-27,5,1042,0.48%,25.8
2026-04-28,6,425,1.41%,14.9
2026-04-29,8,655,1.22%,18.1
2026-04-30,4,741,0.54%,13.9
2026-05-01,2,1110,0.18%,11.2
2026-05-02,5,1021,0.49%,14
2026-05-03,5,843,0.59%,15.8
2026-05-04,8,1310,0.61%,19.4
2026-05-05,8,1002,0.8%,14.9
2026-05-06,3,889,0.34%,16.6
2026-05-07,13,924,1.41%,14.8
2026-05-08,14,1038,1.35%,12.6
2026-05-09,9,1220,0.74%,13.5
2026-05-10,6,1080,0.56%,12.2
2026-05-11,11,1691,0.65%,15.8
2026-05-12,14,1135,1.23%,11.8
2026-05-13,12,1045,1.15%,13.6
2026-05-14,9,1238,0.73%,14.2
2026-05-15,18,994,1.81%,11.6
2026-05-16,6,887,0.68%,11.4
2026-05-17,14,1098,1.28%,9.7
2026-05-18,16,1842,0.87%,15
2026-05-19,9,1048,0.86%,11.1
2026-05-20,15,1077,1.39%,13.8
2026-05-21,17,870,1.95%,13
2026-05-22,13,705,1.84%,11.5
2026-05-23,10,732,1.37%,12.7
2026-05-24,17,1107,1.54%,19.3
2026-05-25,19,2085,0.91%,28
2026-05-26,21,1019,2.06%,11.1
2026-05-27,12,990,1.21%,13.4
2026-05-28,13,916,1.42%,13.6
2026-05-29,12,881,1.36%,11.5
2026-05-30,13,816,1.59%,11.2
2026-05-31,9,818,1.1%,12
2026-06-01,16,1424,1.12%,20.1
2026-06-02,22,858,2.56%,10.5
2026-06-03,15,902,1.66%,17.2
2026-06-04,18,1017,1.77%,18.6
2026-06-05,23,823,2.79%,17.8
2026-06-06,15,932,1.61%,18.5
2026-06-07,15,852,1.76%,14.4
2026-06-08,20,1698,1.18%,19.8
2026-06-09,17,1234,1.38%,19.7
2026-06-10,13,969,1.34%,17.2
2026-06-11,17,1485,1.14%,11.8
2026-06-12,22,875,2.51%,15.2
2026-06-13,14,1118,1.25%,19.7
2026-06-14,7,931,0.75%,14.1
2026-06-15,14,1456,0.96%,19.7
2026-06-16,9,1169,0.77%,20.9
2026-06-17,11,869,1.27%,16.7
2026-06-18,15,1030,1.46%,20.7
2026-06-19,9,911,0.99%,18.9
2026-06-20,12,897,1.34%,19.6
2026-06-21,10,1002,1%,22.8
2026-06-22,20,2009,1%,29.3
2026-06-23,9,936,0.96%,19.9
2026-06-24,17,1031,1.65%,21.3
2026-06-25,14,1017,1.38%,20.3
2026-06-26,11,1128,0.98%,18.1
2026-06-27,13,1259,1.03%,18.4
2026-06-28,10,1488,0.67%,18
2026-06-29,13,1800,0.72%,18.5
2026-06-30,17,1490,1.14%,20.5
2026-07-01,18,1681,1.07%,20.5
2026-07-02,15,1308,1.15%,18.6
2026-07-03,11,983,1.12%,17.1
2026-07-04,10,1024,0.98%,19.2
2026-07-05,11,1122,0.98%,17.2
2026-07-06,8,2336,0.34%,27.4
2026-07-07,13,1311,0.99%,19.3
2026-07-08,21,1516,1.39%,24.1
2026-07-09,19,1425,1.33%,23.6
2026-07-10,10,1425,0.7%,24.5
2026-07-11,10,1103,0.91%,21.6
