Country,Clicks,Impressions,CTR,Position
United States,994,90104,1.1%,17.54
Canada,15,1138,1.32%,15.52
United Kingdom,4,340,1.18%,19.08
Germany,2,171,1.17%,18.59
Australia,2,118,1.69%,16.03
France,2,116,1.72%,12.29
Argentina,2,84,2.38%,11.04
Netherlands,2,82,2.44%,10.87
Bulgaria,2,19,10.53%,19.53
Vietnam,1,173,0.58%,11.09
China,1,118,0.85%,6.35
Philippines,1,110,0.91%,8.76
Colombia,1,80,1.25%,9.7
Turkey,1,68,1.47%,7.28
Poland,1,67,1.49%,16.88
Thailand,1,58,1.72%,9.57
Ukraine,1,48,2.08%,8.06
Hong Kong,1,36,2.78%,6.08
Russia,1,34,2.94%,17.06
Czechia,1,33,3.03%,15.42
Belgium,1,32,3.12%,17.69
Ecuador,1,30,3.33%,9.17
New Zealand,1,26,3.85%,8
Serbia,1,17,5.88%,8.18
Denmark,1,14,7.14%,11.64
Costa Rica,1,7,14.29%,2.57
Brazil,0,394,0%,8.88
India,0,285,0%,17.41
Mexico,0,148,0%,7.93
Spain,0,128,0%,13.27
Italy,0,119,0%,16.4
Indonesia,0,109,0%,9.86
Malaysia,0,78,0%,5.65
Japan,0,52,0%,10.42
Pakistan,0,51,0%,17.59
South Korea,0,48,0%,8.42
Bangladesh,0,48,0%,11.85
Saudi Arabia,0,48,0%,13.48
Singapore,0,45,0%,5.62
Switzerland,0,41,0%,11.39
Portugal,0,40,0%,16.43
Romania,0,40,0%,17.75
South Africa,0,35,0%,8.11
United Arab Emirates,0,35,0%,9.23
Peru,0,34,0%,7.09
Chile,0,34,0%,11.82
Sweden,0,31,0%,12.68
Iraq,0,31,0%,17.13
Greece,0,28,0%,16.14
Ireland,0,26,0%,14.65
Morocco,0,26,0%,16.96
Israel,0,25,0%,9.44
Taiwan,0,24,0%,8.62
Egypt,0,24,0%,14.62
Austria,0,23,0%,15.39
Hungary,0,23,0%,15.74
Iran,0,21,0%,8.24
Algeria,0,18,0%,8.94
Dominican Republic,0,18,0%,9.22
Norway,0,17,0%,9.12
Venezuela,0,16,0%,9.12
Tunisia,0,15,0%,16.13
Puerto Rico,0,14,0%,5.21
Jamaica,0,13,0%,5.31
Palestine,0,13,0%,6.92
Paraguay,0,13,0%,13.62
Croatia,0,13,0%,16.69
Honduras,0,12,0%,9.33
Nigeria,0,12,0%,10.75
Bolivia,0,12,0%,15.75
Finland,0,12,0%,26.17
Lithuania,0,11,0%,12.73
Trinidad & Tobago,0,10,0%,4.6
Georgia,0,10,0%,8.5
Kenya,0,10,0%,11.1
Kuwait,0,10,0%,11.9
Slovakia,0,10,0%,13.3
Albania,0,9,0%,5.33
Latvia,0,9,0%,12.22
Oman,0,8,0%,6.5
Guatemala,0,8,0%,9
Cambodia,0,8,0%,9.12
Ethiopia,0,8,0%,11.5
Nepal,0,8,0%,11.62
Sri Lanka,0,8,0%,15.38
Azerbaijan,0,8,0%,19
Uganda,0,7,0%,4.71
Bahamas,0,7,0%,5
Lebanon,0,7,0%,5.29
Macedonia,0,7,0%,7.29
Jordan,0,7,0%,10.14
Uzbekistan,0,7,0%,10.14
Uruguay,0,7,0%,13.14
Syria,0,7,0%,14.86
Cuba,0,6,0%,4.17
Kazakhstan,0,6,0%,4.83
Belarus,0,6,0%,6
Barbados,0,5,0%,4
Qatar,0,5,0%,4.2
Cayman Islands,0,5,0%,6.4
Bermuda,0,5,0%,8.2
Slovenia,0,5,0%,8.4
Estonia,0,5,0%,14.4
Panama,0,5,0%,18.6
Iceland,0,4,0%,6.75
Cyprus,0,4,0%,8.75
Bosnia & Herzegovina,0,4,0%,10
Côte d’Ivoire,0,4,0%,17.75
Namibia,0,3,0%,3
Kosovo,0,3,0%,3.67
El Salvador,0,3,0%,4.33
Armenia,0,3,0%,5
Bahrain,0,3,0%,5
Ghana,0,3,0%,5.67
Malta,0,3,0%,5.67
Mongolia,0,3,0%,7
Tanzania,0,3,0%,8
Belize,0,3,0%,8.67
Luxembourg,0,3,0%,16
Angola,0,3,0%,18.67
Haiti,0,3,0%,19
Kyrgyzstan,0,3,0%,24.33
Unknown Region,0,2,0%,1
Libya,0,2,0%,1.5
Moldova,0,2,0%,2.5
Dominica,0,2,0%,3
St. Kitts & Nevis,0,2,0%,4
Turks & Caicos Islands,0,2,0%,6.5
St. Lucia,0,2,0%,14.5
Nicaragua,0,2,0%,14.5
Mozambique,0,2,0%,22
Macau,0,2,0%,39.5
Aruba,0,1,0%,1
Benin,0,1,0%,1
Cook Islands,0,1,0%,1
Guam,0,1,0%,1
Yemen,0,1,0%,1
Maldives,0,1,0%,2
Réunion,0,1,0%,2
British Virgin Islands,0,1,0%,2
U.S. Virgin Islands,0,1,0%,2
Grenada,0,1,0%,3
North Korea,0,1,0%,3
Sint Maarten,0,1,0%,3
Tajikistan,0,1,0%,3
Samoa,0,1,0%,3
Afghanistan,0,1,0%,4
Tonga,0,1,0%,4
Northern Mariana Islands,0,1,0%,5
Brunei,0,1,0%,6
Madagascar,0,1,0%,6
Mauritius,0,1,0%,6
Sudan,0,1,0%,6
Fiji,0,1,0%,8
Gabon,0,1,0%,10
Botswana,0,1,0%,18
Laos,0,1,0%,22
Sierra Leone,0,1,0%,27
Myanmar (Burma),0,1,0%,36
Vanuatu,0,1,0%,40
