query,scope,page,clicks,impressions,ctr_percent,position,period,observation
automated retractable pergolas hewlett harbor,query total,,0,3696,0,10.11,2026-04-12 to 2026-07-11,"Zero-click, desktop-heavy burst concentrated April 28–May 15; likely automated measurement activity"
automated retractable pergolas hewlett harbor,page mapping,https://www.edgpatioshade.com/,0,3666,0,10.04,2026-04-12 to 2026-07-11,"Homepage owned nearly all impressions"
automated retractable pergolas hewlett harbor,page mapping,https://www.edgpatioshade.com/systems/pergolas,0,30,0,19.3,2026-04-12 to 2026-07-11,"Relevant category page was secondary"
magnatrack motorized retractable screens,query total,,0,787,0,1,2026-04-12 to 2026-07-11,"Exact phrase produced no clicks despite position 1"
magnatrack motorized retractable screens,page mapping,https://www.edgpatioshade.com/systems/shades,0,787,0,,2026-04-12 to 2026-07-11,"All observed impressions mapped to the shades route"
deerfield il motorized porch screens,query total,,0,277,0,5.3,2026-04-12 to 2026-07-11,"Templated geographic phrase with no clicks"
deerfield il motorized porch screens,page mapping,https://edgpatioshade.com/,0,226,0,,2026-04-12 to 2026-07-11,"Legacy non-www homepage dominated"
deerfield il motorized porch screens,page mapping,https://www.edgpatioshade.com/,0,33,0,,2026-04-12 to 2026-07-11,"Current homepage was secondary"
deerfield il motorized porch screens,page mapping,https://www.edgpatioshade.com/systems/shades,0,12,0,,2026-04-12 to 2026-07-11,"Category page had limited ownership"
deerfield il motorized porch screens,page mapping,https://www.edgpatioshade.com/service-areas/deerfield-il/retractable-screens,0,7,0,,2026-04-12 to 2026-07-11,"The most intent-matched local route barely appeared"
pergola,query total,,4,632,0.63,4.38,2026-04-12 to 2026-07-11,"High position but weak CTR for a broad head term"
pergola,page mapping,https://edgpatioshade.com/,4,624,0.64,,2026-04-12 to 2026-07-11,"Non-www homepage owned nearly all visible impressions"
pergola,page mapping,https://www.edgpatioshade.com/,0,40,0,,2026-04-12 to 2026-07-11,"www homepage also appeared"
pergola,page mapping,https://www.edgpatioshade.com/systems/pergolas,0,1,0,,2026-04-12 to 2026-07-11,"Relevant category route had almost no ownership"
motorized pergolas near me,query total,,1,378,0.26,18.91,2026-04-12 to 2026-07-11,"Local commercial-intent query underperforms"
motorized pergolas near me,page mapping,https://www.edgpatioshade.com/,1,351,0.28,,2026-04-12 to 2026-07-11,"Generic homepage dominated"
motorized pergolas near me,page mapping,https://www.edgpatioshade.com/service-areas/spring-grove-il,0,45,0,,2026-04-12 to 2026-07-11,"One local page appeared secondarily"
motorized pergolas near me,page mapping,https://www.edgpatioshade.com/systems/pergolas,0,0,0,,2026-04-12 to 2026-07-11,"Category route had no observed impressions"
motorized retractable screens price,query total,,4,345,1.16,13.88,2026-04-12 to 2026-07-11,"Price intent is split between a service page and a cost guide"
motorized retractable screens price,page mapping,https://www.edgpatioshade.com/systems/shades,2,260,0.77,,2026-04-12 to 2026-07-11,"Service page received most impressions"
motorized retractable screens price,page mapping,https://www.edgpatioshade.com/guides/magnatrack-screens-cost,2,93,2.15,,2026-04-12 to 2026-07-11,"Cost guide earned the stronger CTR"
magnatrack screens,query total,,12,940,1.28,19.19,2026-04-12 to 2026-07-11,"Brand/category query is split across two routes"
magnatrack screens,page mapping,https://www.edgpatioshade.com/guides/magnatrack-screens-cost,9,529,1.7,,2026-04-12 to 2026-07-11,"Guide earned most clicks"
magnatrack screens,page mapping,https://www.edgpatioshade.com/systems/shades,3,657,0.46,,2026-04-12 to 2026-07-11,"Service page earned more impressions but fewer clicks"
restaurant patio enclosure,query total,,0,241,0,18.79,2026-04-12 to 2026-07-11,"Clean non-brand opportunity in positions 4–20"
restaurant patio enclosure,page mapping,https://www.edgpatioshade.com/commercial/restaurant-patio-enclosures,0,240,0,,2026-04-12 to 2026-07-11,"The correct route owns nearly all impressions"
