Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
United States,334,419,33712,28147,0.99%,1.49%,21.16,16.51
Canada,7,7,511,353,1.37%,1.98%,21.21,7.58
United Kingdom,2,1,173,90,1.16%,1.11%,22.74,13.43
Australia,1,1,60,28,1.67%,3.57%,8.18,5.68
France,1,1,48,34,2.08%,2.94%,17.15,9.12
Netherlands,1,0,36,30,2.78%,0%,11.69,10.87
Poland,1,0,33,23,3.03%,0%,19.18,17.83
Argentina,1,0,28,26,3.57%,0%,11.96,11.38
Vietnam,1,0,27,84,3.7%,0%,8.15,9.3
China,1,0,25,61,4%,0%,8.68,4.98
Belgium,1,0,17,8,5.88%,0%,27.35,7.25
Colombia,1,0,15,36,6.67%,0%,10,9.92
Hong Kong,1,0,9,14,11.11%,0%,5.67,5.93
Ecuador,1,0,9,11,11.11%,0%,11.33,9.36
New Zealand,1,0,7,9,14.29%,0%,3.14,7.78
Russia,1,0,6,13,16.67%,0%,14.67,7.69
Costa Rica,1,0,3,3,33.33%,0%,1.67,1.33
India,0,0,96,95,0%,0%,12.51,14.42
Germany,0,1,82,55,0%,1.82%,24.79,14.31
Brazil,0,0,77,154,0%,0%,10.91,8.76
Italy,0,0,64,31,0%,0%,21.09,11.23
Spain,0,0,55,41,0%,0%,18.53,10.49
Mexico,0,0,33,56,0%,0%,8.36,7.96
Indonesia,0,0,23,59,0%,0%,13.52,6.76
Philippines,0,0,22,66,0%,0%,11.36,8.26
Romania,0,0,21,8,0%,0%,23.62,12.38
Portugal,0,0,19,12,0%,0%,21,16.83
Switzerland,0,0,18,8,0%,0%,13.44,10.62
Czechia,0,1,18,7,0%,14.29%,20.83,10.14
Saudi Arabia,0,0,16,15,0%,0%,19.25,11.4
Singapore,0,0,15,13,0%,0%,7.27,5.31
Greece,0,0,15,7,0%,0%,18.07,21
Thailand,0,1,14,24,0%,4.17%,10.57,6.88
Austria,0,0,14,4,0%,0%,17.29,8.25
