Top pages,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
https://www.edgpatioshade.com/guides/magnatrack-screens-cost,187,223,8410,7284,2.22%,3.06%,8.14,5.94
https://www.edgpatioshade.com/,35,51,7830,6699,0.45%,0.76%,34.79,28.71
https://edgpatioshade.com/,33,45,1626,2077,2.03%,2.17%,5.38,6.05
https://www.edgpatioshade.com/systems/shades,32,51,5192,5839,0.62%,0.87%,26.27,17.8
https://www.edgpatioshade.com/systems/enclosures,27,23,1574,1764,1.72%,1.3%,13.93,10.52
https://www.edgpatioshade.com/guides/pergola-cost,9,1,3502,1265,0.26%,0.08%,18.46,6.88
https://www.edgpatioshade.com/systems/pergolas,7,5,1518,1181,0.46%,0.42%,34.75,24.48
https://www.edgpatioshade.com/service-areas/chicago-il/motorized-pergolas,5,4,425,156,1.18%,2.56%,21.03,22.08
https://www.edgpatioshade.com/commercial/restaurant-patio-enclosures,4,2,1177,776,0.34%,0.26%,17.68,17.68
https://www.edgpatioshade.com/service-areas/lake-county-il,2,1,653,601,0.31%,0.17%,24.84,14.27
https://www.edgpatioshade.com/systems/pergolas/configure,2,7,568,759,0.35%,0.92%,10.24,8.33
https://www.edgpatioshade.com/service-areas/naperville-il,2,3,356,358,0.56%,0.84%,12.57,9.98
https://www.edgpatioshade.com/service-areas/wilmette-il,2,4,257,240,0.78%,1.67%,23.8,20.2
https://www.edgpatioshade.com/guides/motorized-pergola-permits-hoa-engineering,2,0,189,0,1.06%,0%,22.62,0
https://www.edgpatioshade.com/service-areas/spring-grove-il,1,2,797,773,0.13%,0.26%,28.44,20.83
https://www.edgpatioshade.com/service-areas/north-shore-chicago,1,3,431,368,0.23%,0.82%,22.06,17.66
https://www.edgpatioshade.com/service-areas/lake-geneva-wi,1,2,417,375,0.24%,0.53%,22.48,19.82
https://www.edgpatioshade.com/gallery,1,0,383,341,0.26%,0%,33.99,31.44
https://www.edgpatioshade.com/guides/motorized-pergola-deck-roof-deck,1,0,352,0,0.28%,0%,9.81,0
https://www.edgpatioshade.com/service-areas/northbrook-il,1,3,161,328,0.62%,0.91%,7.86,7.21
https://www.edgpatioshade.com/projects/greco,1,0,112,0,0.89%,0%,17.61,0
https://www.edgpatioshade.com/systems/appliances,1,1,37,59,2.7%,1.69%,10.05,11.42
https://www.edgpatioshade.com/projects/jake-everly-residence,1,0,22,0,4.55%,0%,6.82,0
https://app.edgpatioshade.com/users/password/new,1,0,4,17,25%,0%,5,5.24
https://www.edgpatioshade.com/contact,0,0,381,307,0%,0%,50.35,42.87
https://www.edgpatioshade.com/service-areas/deerfield-il/retractable-screens,0,0,360,635,0%,0%,6.86,7.98
https://www.edgpatioshade.com/service-areas/sanibel-outdoor-living,0,2,314,191,0%,1.05%,11.62,9.63
https://www.edgpatioshade.com/guides/motorized-pergola-planning,0,0,218,0,0%,0%,16.32,0
https://www.edgpatioshade.com/service-areas/winnetka-il,0,0,203,314,0%,0%,21.49,22.43
https://www.edgpatioshade.com/guides/pergola-system-fit-review,0,0,161,0,0%,0%,9.91,0
https://www.edgpatioshade.com/projects,0,0,143,137,0%,0%,31,5.98
https://www.edgpatioshade.com/guides/louvered-pergolas,0,2,101,264,0%,0.76%,9.28,10.64
https://www.edgpatioshade.com/guides/motorized-pergola-budget-examples,0,0,96,0,0%,0%,19.58,0
https://www.edgpatioshade.com/outdoor-rooms/pergola-glass-outdoor-room,0,0,88,0,0%,0%,29.17,0
https://www.edgpatioshade.com/service-areas,0,0,86,48,0%,0%,37.44,33.96
https://www.edgpatioshade.com/projects/wade,0,0,79,0,0%,0%,28.62,0
https://www.edgpatioshade.com/guides,0,0,66,87,0%,0%,19.29,16.53
https://www.edgpatioshade.com/commercial,0,0,51,100,0%,0%,23.37,20.42
https://www.edgpatioshade.com/html-sitemap,0,0,47,0,0%,0%,34.64,0
https://www.edgpatioshade.com/trade-partners,0,0,38,38,0%,0%,11.87,7.08
https://www.edgpatioshade.com/terms,0,0,33,86,0%,0%,5,6.47
https://www.edgpatioshade.com/guides/pergola-vs-patio-cover,0,0,27,50,0%,0%,13.48,20.04
