Date,Clicks,Impressions,CTR,Position
2026-04-12,0,0,,
2026-04-13,0,1,0%,24
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,0,,
2026-04-22,0,0,,
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,0,,
2026-04-27,0,0,,
2026-04-28,0,27,0%,10.6
2026-04-29,0,57,0%,9.5
2026-04-30,0,282,0%,10.2
2026-05-01,0,586,0%,9.9
2026-05-02,0,511,0%,9.7
2026-05-03,0,313,0%,9.9
2026-05-04,0,168,0%,9.8
2026-05-05,0,351,0%,9.4
2026-05-06,0,153,0%,9.5
2026-05-07,0,110,0%,10.3
2026-05-08,0,247,0%,9.8
2026-05-09,0,244,0%,9.9
2026-05-10,0,147,0%,9.8
2026-05-11,0,194,0%,9.6
2026-05-12,0,85,0%,9.7
2026-05-13,0,4,0%,9.8
2026-05-14,0,180,0%,9.8
2026-05-15,0,3,0%,10.3
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,1,0%,35
2026-05-19,0,0,,
2026-05-20,0,0,,
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,0,,
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,1,0%,34
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,1,0%,44
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,1,0%,42
2026-06-09,0,1,0%,44
2026-06-10,0,1,0%,50
2026-06-11,0,1,0%,46
2026-06-12,0,0,,
2026-06-13,0,2,0%,49.5
2026-06-14,0,0,,
2026-06-15,0,0,,
2026-06-16,0,1,0%,50
2026-06-17,0,0,,
2026-06-18,0,1,0%,47
2026-06-19,0,1,0%,49
2026-06-20,0,1,0%,47
2026-06-21,0,0,,
2026-06-22,0,2,0%,45.5
2026-06-23,0,1,0%,43
2026-06-24,0,1,0%,46
2026-06-25,0,1,0%,47
2026-06-26,0,1,0%,39
2026-06-27,0,0,,
2026-06-28,0,2,0%,31.5
2026-06-29,0,1,0%,44
2026-06-30,0,1,0%,48
2026-07-01,0,2,0%,47.5
2026-07-02,0,1,0%,45
2026-07-03,0,1,0%,43
2026-07-04,0,1,0%,49
2026-07-05,0,0,,
2026-07-06,0,1,0%,45
2026-07-07,0,1,0%,44
2026-07-08,0,1,0%,47
2026-07-09,0,0,,
2026-07-10,0,1,0%,42
2026-07-11,0,1,0%,42
